electrode,cluster,spiketime
1.0,6.0,132.941215
1.0,6.0,132.94174
1.0,6.0,132.94383
1.0,6.0,133.376065
1.0,6.0,133.376735
1.0,6.0,133.38964
1.0,5.0,133.38985
1.0,6.0,133.39594
1.0,6.0,133.763355
1.0,6.0,133.76419
1.0,6.0,133.76524
1.0,6.0,134.24528
1.0,6.0,134.25357
1.0,6.0,134.516315
1.0,6.0,134.522425
1.0,6.0,135.05193
1.0,6.0,135.48233
1.0,6.0,135.483375
1.0,6.0,135.484865
1.0,6.0,135.543095
1.0,6.0,135.54465
1.0,6.0,135.54895
1.0,6.0,135.649255
1.0,6.0,135.65238
1.0,6.0,135.65343
1.0,6.0,136.08708
1.0,6.0,136.239505
1.0,6.0,136.472345
1.0,6.0,136.47267
1.0,6.0,136.54502
1.0,6.0,136.59215
1.0,6.0,136.60972
1.0,6.0,136.61002
1.0,6.0,136.61261
1.0,6.0,136.670335
1.0,6.0,136.73183
1.0,6.0,136.820785
1.0,6.0,136.82742
1.0,6.0,136.83333
1.0,6.0,136.83656
1.0,6.0,136.84286
1.0,6.0,136.85177
1.0,6.0,136.85299
1.0,6.0,136.877275
1.0,6.0,136.878625
1.0,6.0,136.89995
1.0,6.0,136.90103
1.0,5.0,136.946845
1.0,5.0,136.962715
1.0,5.0,137.184295
1.0,5.0,137.227715
1.0,5.0,138.17918
1.0,6.0,138.552875
1.0,6.0,138.71985
1.0,6.0,138.76319
1.0,5.0,139.848285
1.0,6.0,140.18188
1.0,6.0,140.18255
1.0,6.0,140.18327
1.0,6.0,140.18458
1.0,6.0,140.631895
1.0,6.0,141.1373
1.0,6.0,141.13836
1.0,6.0,141.139225
1.0,5.0,141.73011
1.0,5.0,141.822155
1.0,5.0,141.832305
1.0,6.0,141.86237
1.0,5.0,142.051635
1.0,6.0,142.05568
1.0,6.0,142.618355
1.0,6.0,142.61902
1.0,6.0,142.61951
1.0,6.0,142.62071
1.0,6.0,142.753885
1.0,6.0,142.77331
1.0,6.0,142.876835
1.0,6.0,142.96193
1.0,6.0,143.02108
1.0,6.0,143.021285
1.0,6.0,143.069325
1.0,6.0,143.07141
1.0,6.0,143.188805
1.0,6.0,143.31899
1.0,6.0,143.3205
1.0,6.0,143.55291
1.0,6.0,143.553805
1.0,6.0,143.55429
1.0,6.0,143.555805
1.0,6.0,143.561435
1.0,6.0,143.864055
1.0,6.0,143.88736
1.0,6.0,143.942225
1.0,6.0,143.945105
1.0,6.0,144.001925
1.0,6.0,144.003045
1.0,6.0,144.005005
1.0,6.0,144.089835
1.0,6.0,144.09085
1.0,6.0,144.135935
1.0,6.0,144.155345
1.0,6.0,144.171825
1.0,6.0,144.17308
1.0,6.0,144.17467
1.0,6.0,144.175995
1.0,6.0,144.190775
1.0,6.0,144.193495
1.0,6.0,144.194415
1.0,6.0,144.216295
1.0,6.0,144.216485
1.0,6.0,144.23146
1.0,6.0,144.23459
1.0,5.0,144.33119
1.0,5.0,144.33205
1.0,5.0,144.332225
1.0,5.0,144.33765
1.0,5.0,144.340825
1.0,5.0,144.342085
1.0,6.0,144.34912
1.0,5.0,144.399385
1.0,6.0,144.415625
1.0,6.0,144.42974
1.0,5.0,144.491955
1.0,5.0,144.51735
1.0,5.0,144.521645
1.0,5.0,144.525685
1.0,5.0,144.826325
1.0,6.0,144.91639
1.0,6.0,145.22471
1.0,6.0,145.312415
1.0,6.0,145.313395
1.0,6.0,145.313555
1.0,6.0,145.31439
1.0,6.0,145.3158
1.0,6.0,145.406855
1.0,6.0,145.4483
1.0,6.0,145.597265
1.0,6.0,145.598155
1.0,6.0,145.59889
1.0,5.0,145.66674
1.0,5.0,145.688995
1.0,6.0,145.84885
1.0,5.0,145.90105
1.0,6.0,147.12913
1.0,6.0,147.18299
1.0,6.0,147.297505
1.0,6.0,147.29848
1.0,6.0,147.30322
1.0,6.0,147.86593
1.0,5.0,148.09848
1.0,5.0,148.27709
1.0,6.0,149.25098
1.0,5.0,149.54729
1.0,5.0,149.56278
1.0,5.0,149.56378
1.0,5.0,149.566805
1.0,5.0,149.56807
1.0,5.0,149.569415
1.0,5.0,149.569725
1.0,5.0,149.70651
1.0,5.0,149.758255
1.0,5.0,150.04832
1.0,6.0,150.125015
1.0,6.0,150.38527
1.0,6.0,150.57814
1.0,5.0,150.592655
1.0,6.0,151.015435
1.0,6.0,151.147735
1.0,5.0,151.16338
1.0,6.0,151.166705
1.0,5.0,151.18445
1.0,6.0,151.21288
1.0,6.0,151.224995
1.0,6.0,151.282405
1.0,6.0,151.287455
1.0,6.0,151.88337
1.0,6.0,151.88403
1.0,6.0,151.884745
1.0,6.0,151.885295
1.0,6.0,151.886265
1.0,6.0,152.269415
1.0,6.0,152.269985
1.0,6.0,152.275805
1.0,5.0,152.711875
1.0,6.0,152.787135
1.0,6.0,152.788495
1.0,6.0,152.79003
1.0,6.0,152.79177
1.0,6.0,152.81252
1.0,6.0,152.89593
1.0,6.0,152.896785
1.0,6.0,152.8973
1.0,6.0,153.167655
1.0,5.0,153.20336
1.0,5.0,153.204615
1.0,5.0,153.210725
1.0,6.0,153.23188
1.0,6.0,153.23341
1.0,5.0,153.62523
1.0,6.0,153.63318
1.0,6.0,153.63384
1.0,6.0,153.634205
1.0,6.0,153.922225
1.0,6.0,154.00098
1.0,6.0,154.01947
1.0,6.0,154.02036
1.0,6.0,154.09731
1.0,6.0,154.36096
1.0,6.0,154.362155
1.0,6.0,154.691205
1.0,6.0,154.73161
1.0,6.0,154.732625
1.0,6.0,155.16431
1.0,6.0,155.16532
1.0,6.0,155.166185
1.0,6.0,155.16802
1.0,6.0,155.171445
1.0,6.0,155.17254
1.0,6.0,155.30738
1.0,6.0,155.327295
1.0,6.0,155.34648
1.0,6.0,155.35522
1.0,6.0,155.368745
1.0,6.0,155.37065
1.0,6.0,155.371275
1.0,6.0,155.385315
1.0,6.0,155.38801
1.0,6.0,155.389845
1.0,6.0,155.40708
1.0,6.0,155.407955
1.0,6.0,155.426275
1.0,5.0,155.4888
1.0,5.0,155.50586
1.0,5.0,155.51486
1.0,5.0,155.701365
1.0,6.0,155.832695
1.0,6.0,156.69834
1.0,6.0,157.16532
1.0,6.0,158.209165
1.0,5.0,158.50295
1.0,6.0,158.51762
1.0,6.0,158.652935
1.0,6.0,159.24521
1.0,6.0,159.40813
1.0,6.0,159.40931
1.0,6.0,159.410295
1.0,6.0,159.412195
1.0,6.0,159.41773
1.0,6.0,159.535085
1.0,6.0,159.79836
1.0,6.0,160.13653
1.0,6.0,160.13957
1.0,6.0,160.141095
1.0,6.0,160.142595
1.0,6.0,160.143325
1.0,6.0,160.14483
1.0,5.0,160.148305
1.0,5.0,160.14898
1.0,6.0,160.36733
1.0,6.0,160.396025
1.0,6.0,160.39917
1.0,6.0,160.82608
1.0,6.0,160.83183
1.0,6.0,161.539585
1.0,6.0,161.999115
1.0,6.0,162.003275
1.0,5.0,162.017
1.0,6.0,162.082385
1.0,5.0,162.14268
1.0,6.0,162.207495
1.0,5.0,162.27366
1.0,6.0,162.302245
1.0,6.0,162.302575
1.0,6.0,162.51354
1.0,6.0,162.51416
1.0,6.0,162.514695
1.0,6.0,162.635185
1.0,6.0,162.63654
1.0,6.0,162.637045
1.0,6.0,162.64005
1.0,6.0,162.713405
1.0,6.0,162.714815
1.0,6.0,162.75391
1.0,6.0,163.84295
1.0,6.0,163.84368
1.0,6.0,163.844445
1.0,6.0,163.847075
1.0,6.0,163.84866
1.0,6.0,163.89853
1.0,6.0,163.901345
1.0,6.0,163.90262
1.0,6.0,163.917115
1.0,6.0,163.91804
1.0,6.0,163.935605
1.0,6.0,163.939105
1.0,6.0,163.94111
1.0,6.0,163.958045
1.0,6.0,163.958855
1.0,6.0,163.976425
1.0,6.0,163.99416
1.0,5.0,164.02583
