delay_time,region,mi_max,p-value
0.05,EC,1.2315655255521871,0.026
-1.0,EC,0.44348032931186965,0.0
-0.55,CA3,1.0549740804698726,0.014
0.2,EC,0.24150176058512784,0.038
0.15,CA3,0.26184086468906276,0.0
-1.0,EC,1.5103389839354275,0.0
1.0,CA3,0.4809760205686394,0.0
0.4,EC,0.31487870022876285,0.038
-1.0,CA3,0.9202517220788606,0.0
0.0,CA3,0.28738104186275837,0.02
0.3,EC,1.6165657405217937,0.045
1.0,EC,0.6374903797132708,0.006
0.3,EC,0.1918604227835634,0.017
-1.0,EC,0.598162099937043,0.001
-0.5,CA1,0.08710522592564343,0.024
-0.65,CA1,0.66978782405117,0.045
0.0,CA3,0.7263221086890645,0.021
-0.6,CA3,1.2281687089990871,0.011
-0.5,EC,0.15917538325336766,0.018
0.45,CA1,0.9317942050149397,0.001
-0.5,CA1,0.4877296398260612,0.01
-0.95,EC,0.4208828802166016,0.0
-0.95,EC,1.449499802622634,0.0
0.75,EC,0.5162760423328173,0.0
0.65,CA3,0.3085429087663043,0.002
1.0,CA3,0.2663843982172942,0.0
1.0,CA3,0.226361133123808,0.0
-0.75,CA1,0.5073239268344084,0.0
-1.0,CA1,0.37306781324263993,0.0
0.05,CA1,0.25812566690080535,0.001
-0.3,CA3,0.16077978138995647,0.036
1.0,EC,0.5092867194867116,0.007
0.65,EC,2.033732262700849,0.0
-0.6,EC,0.47109640062512875,0.003
-1.0,CA3,1.0778584738417356,0.0
0.7,CA3,0.2451084167440395,0.012
-0.5,CA1,0.3049037382260841,0.034
0.05,CA3,0.11475748400937257,0.034
0.95,EC,1.0511863670078607,0.0
-0.9,CA1,0.47401624197775794,0.0
-0.25,EC,0.1737488661653357,0.026
0.3,EC,1.1125657273242122,0.023
-0.1,CA1,1.5070615532779992,0.038
0.35,CA1,0.46597432544604084,0.037
0.05,EC,0.15817031732570408,0.035
-0.7,EC,0.1923263273553878,0.043
1.0,CA3,0.24266092304771122,0.041
0.5,EC,0.3028222130125795,0.007
0.4,EC,0.7344908964290897,0.027
0.45,EC,0.9452543861032299,0.044
0.95,EC,1.6988752776043596,0.003
-0.95,EC,0.6109158767298895,0.001
0.95,CA3,0.795420181355383,0.0
0.55,CA1,0.27046688345868636,0.001
-0.3,CA1,1.0613950414873874,0.014
-1.0,CA3,0.2618202561378873,0.016
0.1,EC,0.24704332040256655,0.002
-0.1,EC,2.0799132906577205,0.044
-0.6,CA1,0.5784978026302181,0.044
0.95,EC,0.8846697510853533,0.002
-0.9,CA1,1.1475107506130207,0.0
0.5,CA1,0.07407900195230518,0.042
0.4,CA3,0.23692585366376157,0.001
-0.9,CA1,0.8967495229866231,0.0
0.9,CA1,0.7328049921737595,0.002
0.7,CA1,0.24219952238336548,0.007
-0.15,CA1,1.8660049802778922,0.003
0.35,EC,0.3555838259734759,0.041
-0.05,EC,0.9652409046961526,0.014
-0.65,CA1,0.9298014201408971,0.017
